id,mas_ifsc_number,mas_ifsccode_bank_id,mas_ifsc_code_micr
810,ALLA0210717,170,798010501
811,ALLA0210718,170,462010003
812,ALLA0210719,170,208010012
813,ALLA0210720,170,400010012
814,ALLA0210722,170,462010016
815,ALLA0210723,170,WAITING
816,ALLA0210724,170,600010005
817,ALLA0210725,170,482010004
818,ALLA0210726,170,NA
819,ALLA0210727,170,210010362
820,ALLA0210728,170,285010158
821,ALLA0210729,170,271010063
822,ALLA0210730,170,491010502
823,ALLA0210731,170,495010505
824,ALLA0210732,170,500010005
825,ALLA0210733,170,110010085
826,ALLA0210735,170,262010777
827,ALLA0210736,170,636010003
828,ALLA0210737,170,700010048
829,ALLA0210739,170,700010055
830,ALLA0210742,170,700010501
831,ALLA0210743,170,504010562
832,ALLA0210744,170,506010562
833,ALLA0210745,170,506010002
834,ALLA0210746,170,231010515
835,ALLA0210747,170,785010504
836,ALLA0210748,170,250010052
837,ALLA0210749,170,251010051
838,ALLA0210750,170,785010501
839,ALLA0210751,170,262010756
840,ALLA0210752,170,442010502
841,ALLA0210753,170,445010502
842,ALLA0210754,170,445010504
843,ALLA0210755,170,444010502
844,ALLA0210756,170,313010005
845,ALLA0210757,170,NA
846,ALLA0210758,170,NA
847,ALLA0210759,170,NA
848,ALLA0210760,170,282010501
849,ALLA0210761,170,204010501
850,ALLA0210762,170,262010760
851,ALLA0210763,170,NA
852,ALLA0210765,170,262010052
853,ALLA0210766,170,285010501
854,ALLA0210767,170,NA
855,ALLA0210768,170,271010152
856,ALLA0210769,170,480010504
857,ALLA0210770,170,231010158
858,ALLA0210771,170,485010008
859,ALLA0210772,170,485010014
860,ALLA0210773,170,WAITING
861,ALLA0210774,170,700010069
862,ALLA0210775,170,712010121
863,ALLA0210776,170,NA
864,ALLA0210777,170,271010005
865,ALLA0210778,170,847010505
866,ALLA0210781,170,231010162
867,ALLA0210782,170,480010501
868,ALLA0210783,170,285010159
869,ALLA0210784,170,486010005
870,ALLA0210785,170,NA
871,ALLA0210786,170,285010003
872,ALLA0210787,170,NA
873,ALLA0210788,170,855010002
